taxon,lfc_(Intercept),lfc_TreatmentSterile feed,lfc_TreatmentAntibiotics (5X),lfc_TreatmentAntibiotics (2X),se_(Intercept),se_TreatmentSterile feed,se_TreatmentAntibiotics (5X),se_TreatmentAntibiotics (2X),W_(Intercept),W_TreatmentSterile feed,W_TreatmentAntibiotics (5X),W_TreatmentAntibiotics (2X),p_(Intercept),p_TreatmentSterile feed,p_TreatmentAntibiotics (5X),p_TreatmentAntibiotics (2X),q_(Intercept),q_TreatmentSterile feed,q_TreatmentAntibiotics (5X),q_TreatmentAntibiotics (2X),diff_(Intercept),diff_TreatmentSterile feed,diff_TreatmentAntibiotics (5X),diff_TreatmentAntibiotics (2X),passed_ss_(Intercept),passed_ss_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (5X),passed_ss_TreatmentAntibiotics (2X)
Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,-0.6905380233313365,0.8102126114291313,0.8374185949567676,1.1529744787057938,0.05030057570680805,0.4097129850235512,0.3523204353989939,0.4490484416778968,-13.728232999883419,1.977512651649443,2.3768663716835285,2.5675948777321986,7.643317778907645e-7,0.08336900640530583,0.044764082659844925,0.0332517377731229,1.4063704713190067e-4,0.4065379351946738,0.2638296635194363,0.3548381237068864,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Klebsiella,-0.5892269355652808,0.8655489791534302,1.1167977654067143,0.4130145894673275,0.5264561001901321,0.6213746754471636,0.560172853019759,0.6513701628578951,-1.1192328008973185,1.3929582478245512,1.9936663467112379,0.6340704763866073,0.29551720381268637,0.2011199638631305,0.08131003704435681,0.5437350625133037,0.6419234856079132,0.5737375713304809,0.35424900245654833,0.8551047136961357,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Alcaligenaceae_Achromobacter,0.23736811266260355,-0.9709622406547593,-0.20956143928056362,0.2695048210512593,0.5281603539115477,0.6494385702793374,0.5677268054600886,0.5766756732247195,0.44942432900284707,-1.4950794195009511,-0.36912373568609996,0.4673421015736837,0.6650519714745946,0.1732549166685929,0.7216139778003234,0.6527204736339619,0.8740683053666101,0.5577919318488606,0.8941210229983805,0.9175865646211175,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Dysgonomonadaceae_Dysgonomonas,-1.322783930951821,2.337815367465257,1.987810865812097,1.3446163692841586,0.5162672128148404,1.1493253547179003,0.7244368597251416,0.6283924233670348,-2.562207899548016,2.0340762151193204,2.7439394325770388,2.1397717720393135,0.04278131809432265,0.08816467086983497,0.033560049144553315,0.07617437505142993,0.23152242733398143,0.4065379351946738,0.2287055200962152,0.4595437708020691,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Aeromonadaceae_Aeromonas,-1.5867841011882526,1.4946972892027874,2.644070993461899,2.2468217138546707,1.1512086581597185,1.168392629531,1.1768719260396592,1.241971269959781,-1.3783635919875983,1.2792765474759695,2.2466939137205633,1.8090770440506487,0.20540734627991633,0.2366543876593263,0.054849544854136914,0.10804305263242868,0.5438122548993468,0.6047834351293894,0.2883518929474626,0.4964229915985118,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium,-0.13099068951016637,0.03636675404073116,0.19212135622512577,0.33392823954115824,0.14244928932067077,0.22361027462419977,0.19749528447926368,0.2053048655230796,-0.9195601475784854,0.16263453949890835,0.9727895870106096,1.6264993948894955,0.3846909133445947,0.8748391760839548,0.3591489414240816,0.1424956327967468,0.7297229696433549,0.9441079671521857,0.6665602725112637,0.5627097077361644,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Beijerinckiaceae_Microvirga,-0.05994266926213989,0.14997811629759403,-0.09135864612264047,0.21960479863995583,0.05283656407306052,0.16117098235305458,0.15200076258409365,0.2185631556889584,-1.134492189523401,0.93055284585322,-0.6010407090694481,1.004765867090974,0.28943548194581686,0.37930941871457835,0.5644500288114762,0.34442918005425655,0.641640104554582,0.7065099626272402,0.8082397299712967,0.7482436997894384,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Buttiauxella,-0.6558431240673639,0.5032705426105019,1.3841562710376738,0.7743992743876293,0.5560831966231297,0.5958877699232161,0.7171447485835439,0.6079671072986955,-1.1793974859338248,0.8445726997809527,1.9300932953515537,1.2737519268573938,0.2721224022534797,0.42288575280828977,0.08970774713995235,0.2385096118973642,0.6181545927733366,0.7238230559695379,0.37094471049485456,0.6703435140278785,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Chitinophagaceae_Chitinophaga,0.5453422709805782,-1.6970428639450335,-0.3401035893233421,-0.10576903888758507,0.19158443169429218,0.48735893782007206,0.3745827834766363,0.5322958131515596,2.846485312808564,-3.4821211477844374,-0.9079530729274834,-0.1987034958275534,0.021595463115198457,0.00829376166473793,0.39043356139630403,0.8474515930186931,0.14716908197024134,0.22878245107304496,0.7008758565553165,0.9625376118237008,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Bacteria_Actinobacteriota_Actinobacteria_Streptomycetales_Streptomycetaceae_NA,0.4198671061799972,-1.1677341359187003,-0.16321593338569151,-0.31006476364924795,0.14344707596339046,0.46825714592574585,0.5867876574344713,0.3866648298303235,2.9269826753886057,-2.493788180445354,-0.2781516129689869,-0.8018954394825895,0.019086103635810626,0.03730136589864862,0.7879497037011572,0.44577732657842173,0.13507088726881367,0.33480250367567543,0.9207202416052522,0.820012766853921,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
